country_name,year,sex,population,Acute drug-induced interstitial lung disorders,Acute pulmonary manifestations due to radiation,Acute upper respiratory infections,Alveolar and parietoalveolar conditions,Asthma,Bronchiectasis,"Bronchopneumonia, unspecified",Chronic and other pulmonary manifestations due to radiation,Chronic drug-induced interstitial lung disorders,Chronic obstructive pulmonary disease (COPD),Chylous effusion,"Disease of upper respiratory tract, unspecified",Diseases of pleura,"Drug-induced interstitial lung disorders, unspecified",Fibrothorax,Hemothorax,"Hypostatic pneumonia, unspecified",Influenza and pneumonia,"Interstitial pulmonary disease, unspecified",Interstitial respiratory diseases,"Lobar pneumonia, unspecified",Lung cancer,Lung cancer (WHO list code),Lung diseases due to external agents,Other abscess of pharynx,Other acute lower respiratory infections,Other diseases of pharynx,Other diseases of the respiratory system,Other diseases of upper respiratory tract,Other interstitial pulmonary diseases with fibrosis,"Other pneumonia, organism unspecified",Other specified diseases of upper respiratory tract,Other specified interstitial pulmonary diseases,Other specified pleural conditions,"Pleural condition, unspecified","Pneumonia, unspecified",Pyothorax with fistula,Pyothorax without fistula,Respiratory conditions due to other specified external agents,Respiratory conditions due to unspecified external agent,Respiratory diseases (WHO list code),Retropharyngeal and parapharyngeal abscess,Suppurative and necrotic conditions of lower respiratory tract,"Upper respiratory tract hypersensitivity reaction, site unspecified"
Austria,2003,1,7880570.0,0.0,0.0,0.1776521241483801,0.0,3.3246326090625424,0.02537887487834,1.167428244403641,0.0,0.0,41.62135480047763,0.0,0.0,0.0,0.0,0.0,0.0,0.2791676236617402,0.25378874878340013,0.05075774975668,0.40606199805344023,0.1522732492700401,0.02537887487834,0.0,1.3450803685520207,0.0,0.3045464985400801,0.0,0.17765212414838,0.02537887487834,1.319701493673681,0.1268943743917001,0.0,0.0,0.0,0.0,13.57769805991191,0.05075774975668,0.2030309990267201,0.0,0.0,0.0,0.0,0.05075774975668,0.0
Austria,2003,2,8355920.0,0.0,0.0,0.47870252467711505,0.0,3.135501536635104,0.0718053787015672,2.202031613514729,0.0,0.0,30.75663721050465,0.0,0.0,0.0718053787015672,0.0,0.0478702524677115,0.0,0.4787025246771152,0.26328638857241327,0.0,0.8377294181849516,0.191481009870846,0.0478702524677115,0.0,0.8616645444188072,0.0,0.7180537870156726,0.0,0.263286388572413,0.0478702524677114,1.1488860592250765,0.0478702524677115,0.0,0.0,0.0,0.0,19.45925762812473,0.0,0.1196756311692788,0.0,0.0,0.0,0.0,0.1675458836369902,0.0
Austria,2003,3,16236490.0,0.0,0.0,0.35581858366490987,0.0,3.251976645563059,0.0492717329915517,1.6998747882085352,0.0,0.0,36.07786727066057,0.0,0.0,0.0718053787015672,0.0,0.0478702524677115,0.0,0.381855930684526,0.3210938090689384,0.05075774975668,0.6543364789031889,0.1724510654704311,0.0369537997436638,0.0,1.3705758333015199,0.0,0.5304141380417454,0.0,0.2681915704058538,0.07324912734605141,1.2317933247887936,0.0862255327352155,0.0,0.0,0.0,0.0,16.604574018152938,0.05075774975668,0.1601331322225432,0.0,0.0,0.0,0.0,0.11086139923099131,0.0
Austria,2004,1,7935402.0,0.0,0.0,0.2268316085309853,0.0,2.5959617420768346,0.0504070241179967,1.5626177476579004,0.0,0.0,36.74672058201966,0.0,0.0,0.0,0.0,0.0252035120589983,0.0,0.2268316085309855,0.2016280964719867,0.0,0.3024421447079807,0.2268316085309855,0.0252035120589983,0.0,1.4618036994219064,0.0,0.403256192943974,0.0,0.12601756029499162,0.0,1.2853791150089182,0.0504070241179967,0.0252035120589983,0.0,0.0,0.0,12.727773589794191,0.0,0.2772386326489823,0.0,0.0,0.0,0.0252035120589983,0.1008140482359935,0.0
Austria,2004,2,8403480.0,0.0,0.0,0.1665976476412151,0.0,2.3323670669770142,0.023799663948745,1.5707778206171727,0.0,0.0,26.655623622594447,0.0,0.0,0.0,0.0,0.023799663948745,0.0,0.4997929429236459,0.166597647641215,0.023799663948745,0.4997929429236458,0.0951986557949801,0.023799663948745,0.0,0.9043872300523116,0.0,0.3807946231799205,0.0,0.1665976476412151,0.0,0.5711919347698811,0.0,0.04759932789749,0.0,0.0,0.0,17.111958379147687,0.0,0.1903973115899603,0.0,0.0,0.0,0.0,0.04759932789749,0.0
Austria,2004,3,16338882.0,0.0,0.0,0.2333363029326791,0.0,2.4733514330734225,0.0367222188152163,1.5668146694492315,0.0,0.0,31.569589474329856,0.0,0.0,0.0,0.0,0.0244814792101442,0.0,0.3672221881521637,0.245617260125206,0.023799663948745,0.4155033313110529,0.1591296148659376,0.0244814792101442,0.0,1.4862175409811536,0.0,0.4162253641599068,0.0,0.2565345867949347,0.0,0.9180554703804092,0.0504070241179967,0.0367222188152163,0.0,0.0,0.0,14.982665276608277,0.0,0.2325740524963703,0.0,0.0,0.0,0.0252035120589983,0.0734444376304327,0.0
Austria,2005,1,7997904.0,0.0,0.0,0.1750458620158481,0.0,2.0505372407570785,0.0500131034330994,1.6004193098591832,0.0,0.0,37.284768609375654,0.0,0.0,0.0250065517165497,0.0,0.0500131034330994,0.0,0.1000262068661989,0.40010482746479537,0.0750196551496492,0.2250589654489476,0.2250589654489476,0.0750196551496492,0.0,1.600419309859183,0.0,0.2000524137323978,0.0,0.1000262068661988,0.0250065517165497,1.4503799995598847,0.0250065517165497,0.0,0.0250065517165497,0.0,0.0,13.328492064921008,0.0,0.2000524137323979,0.0,0.0,0.0,0.0,0.0750196551496492,0.0
Austria,2005,2,8452652.0,0.0,0.0,0.4732242614507255,0.0,2.247815241890947,0.0236612130725362,2.1768316026733388,0.0,0.0,26.52421985431318,0.0,0.0,0.0473224261450724,0.0,0.0236612130725362,0.0473224261450725,0.4022406222331169,0.544207900668334,0.0946448522901451,0.2129509176528266,0.1183060653626814,0.0236612130725362,0.0,1.2777055059169593,0.0,0.3549181960880442,0.0,0.3312569830155076,0.0473224261450724,1.0174321621190603,0.0236612130725362,0.0,0.0,0.0,0.0,18.148150426635333,0.0,0.1419672784352177,0.0,0.0,0.0,0.0,0.11830606536268119,0.0
Austria,2005,3,16450556.0,0.0,0.0,0.3512635209019912,0.0,2.2121114745783093,0.0364729313708302,1.8965924312831737,0.0,0.0,31.80312519597593,0.0,0.0,0.0479765006530897,0.0,0.0364729313708302,0.0473224261450725,0.2553105195958118,0.5587091087286499,0.0851035065319372,0.2316864961512545,0.1702070130638745,0.048630575161107,0.0,1.5630910465153867,0.0,0.29247471510263817,0.0,0.2892043425625517,0.0723289778616221,1.2279220228179522,0.0243152875805535,0.0,0.0250065517165497,0.0,0.0,15.804936927359782,0.0,0.1702070130638745,0.0,0.0,0.0,0.0,0.1202682888867329,0.0
Austria,2006,1,8045032.0,0.0,0.0,0.1243003135351107,0.0,1.765064452198574,0.0248600627070221,1.0938427591089757,0.0,0.0,36.245971426838324,0.0,0.0,0.0,0.0,0.0497201254140443,0.0248600627070221,0.1243003135351108,0.24860062707022132,0.0745801881210665,0.1988805016561773,0.2983207524842661,0.0497201254140443,0.0,1.218143072644086,0.0,0.2237405643631993,0.0,0.1740204389491549,0.0248600627070221,1.317583323472175,0.0,0.0,0.0,0.0,0.0,11.758809660421488,0.0,0.0994402508280886,0.0,0.0248600627070221,0.0,0.0,0.0497201254140442,0.0
