country_code,country_name,time,year,month,tp,uvb,cp,lsp,ssrd,i10fg,u10,v10,d2m,t2m,msl,sp,skt,number
MDA,Moldova,2019-05-01,2019,5,0.0024306162637240504,2108118.555000367,0.002147924955847062,0.00028266134032921655,18878402.25250628,6.431152755488814,0.049254848625130035,0.4949894635460193,284.6118795101865,290.0146121862976,101115.75828548007,99436.6824164032,290.43631344299615,0
MDA,Moldova,2019-06-01,2019,6,0.002662174095631853,2613530.304025594,0.0025651446497654924,9.704206140643283e-05,23185408.231448416,5.50645759011165,-0.0661227547742116,-1.6278430166534734,289.78615636446096,296.152398183491,101596.38680887135,99932.27205444122,296.93338746565286,0
MDA,Moldova,2019-07-01,2019,7,0.0009682154443288311,2465328.883239451,0.0008588470727965494,0.00010971575331526052,21965832.997282878,5.426484278014857,1.4613872657578046,-0.7757296530955131,286.85051644625935,294.9074003935077,101183.79902673008,99522.5044653714,295.927053953204,0
MDA,Moldova,2019-08-01,2019,8,0.000996463210577167,2249237.576694254,0.0006777160210371215,0.0003191722825134175,20320963.620027144,5.55492993686014,0.40038898877953505,-0.9142961658578979,286.48889568259017,296.0432320466151,101637.14375211009,99972.80824869234,296.9299333601469,0
MDA,Moldova,2019-09-01,2019,9,0.0008719903220848876,1583937.824333265,0.0005021541872526409,0.00036941180180875626,14602758.40834795,5.704026004840699,0.4875401093950709,-0.36594618559388353,281.673523229479,290.8678125864549,101808.89389215781,100124.87409970084,291.3781305545353,0
MDA,Moldova,2019-10-01,2019,10,0.0008541404829962175,937076.8757594839,0.0002864397546281571,0.0005679173791842925,8710722.007999744,4.798890212912678,0.2570646116218594,0.4094444666013213,281.0725198023784,285.0248879988318,101922.43828914061,100209.85418772184,285.1488605380692,0
MDA,Moldova,2019-11-01,2019,11,0.000524402856782643,477225.55440694984,0.000166544058106902,0.0003578263404853627,4359240.413615529,6.870252922964197,-1.579472156927727,1.4985008440708651,278.3128565866037,281.2859541271969,101773.80415391935,100036.45646348313,280.96387503045435,0
MDA,Moldova,2019-12-01,2019,12,0.0008071193055695155,366995.16214988293,0.00011120402067315854,0.0006961343829370304,3481686.532478413,6.172363116412969,0.679696547313265,0.19184790634334986,274.00034561241307,276.1868608874331,101663.22726487555,99905.4532515092,275.47275698022474,0
MDA,Moldova,2020-01-01,2020,1,0.00028892258766435863,477403.45079025155,7.445415793468408e-05,0.00021455715590996627,4619157.177639583,5.682424296430298,1.377317288875172,-0.6738623930716428,270.3771191588256,273.9411065490225,102449.83996151575,100663.62597138956,273.3885736897359,0
MDA,Moldova,2020-02-01,2020,2,0.001311173143359212,836090.529536232,0.00036332204193832826,0.0009479256256920669,8088034.21660326,7.043533079467185,1.2581715066977377,0.041455263176517924,272.0653441903627,277.1149696757043,101508.87264507917,99755.08269472829,276.228978231136,0
MDA,Moldova,2020-03-01,2020,3,0.0009903892693626922,1399566.6556859221,0.000516625464031649,0.0004738258493974528,13239570.858635623,6.909590961899442,0.1769319393776469,-0.9332813464467271,272.9558509408134,280.73622588303743,101822.95425326619,100083.35178653437,280.2885470078062,0
MDA,Moldova,2020-04-01,2020,4,0.00036824097111782834,2140652.1113510425,0.00023990858994862505,0.00012828909986715276,20213519.048331156,6.595909496830148,0.9021155737353646,-0.50855145005348,269.9377313504131,284.27556406492903,101792.9847183802,100078.66043513437,285.10916358537645,0
MDA,Moldova,2020-05-01,2020,5,0.0026149210842882293,1965267.1937349897,0.0015556487209353181,0.001059063457280245,17605188.84013597,7.046923771453454,1.2182856385856087,-1.040727487913241,280.3048432860971,287.2843157381303,101401.7687498558,99705.97725043805,287.94181048080856,0
MDA,Moldova,2020-06-01,2020,6,0.0029110924647886296,2544886.904620724,0.002718063358452845,0.00019305193794689847,22646585.81737048,5.279457036847369,-0.09164846255337347,0.08886317093876407,287.59506340871627,294.56913879514434,100973.52871145585,99314.04357515491,295.46516460199473,0
MDA,Moldova,2020-07-01,2020,7,0.0010378239066623572,2477489.813411942,0.0008834205807035721,0.00015429800164785373,21865210.99639005,5.781119187839698,0.5937461889670587,-1.044360694228441,286.43184515318103,296.20110464001937,101418.76694676786,99756.62906858072,297.47109844190805,0
MDA,Moldova,2020-08-01,2020,8,0.0005503671372009556,2292684.551383634,0.00045199789833131536,9.844374081431546e-05,20743223.793867577,6.037096061958517,-0.26251752312539994,-0.33776803815370254,284.8295328097168,296.5704246760444,101406.32513633338,99745.99065276202,297.8018775324206,0
MDA,Moldova,2020-09-01,2020,9,0.0015357326819699878,1690551.5242463595,0.0011478431589325,0.0003878880373501064,15694713.378902813,6.1778451676952635,0.005593686460386262,-0.5183834107890416,282.9595812521191,292.76422935451143,101703.71748808838,100028.47589642579,293.67416050103094,0
MDA,Moldova,2020-10-01,2020,10,0.001745080839760502,834433.5962297402,0.0012148681451796554,0.0005304665630766923,7488702.323484643,5.491786268128167,-0.19289681560584188,0.8296582957024693,283.9104629206628,287.3975603387819,101590.768712376,99896.10471308572,287.23685801310774,0
MDA,Moldova,2020-11-01,2020,11,0.0008324265382656192,426467.6913477324,4.0795404504481416e-05,0.0007917586496462482,3915120.097728516,4.894007068541943,0.3154800214224918,-0.562264893482429,275.4033855412091,277.880966790326,102694.03679489021,100926.38700240993,278.0607835563125,0
MDA,Moldova,2020-12-01,2020,12,0.0016812022995653878,259194.97831805775,0.0004706964701696338,0.0012103721753282607,2198550.929418819,6.189205809095666,-1.513413892859113,0.4157284674423594,274.18693890201865,275.3351522548088,102112.66390844686,100333.14104951221,275.16105052864015,0
MDA,Moldova,2021-01-01,2021,1,0.0013532857620858019,468549.86295071023,0.00018722122196227248,0.0011660817201165163,4370678.975739875,6.077104240944261,0.3490035532803469,0.3897955223564035,270.81642803794733,273.0088501244346,101332.45728198973,99556.68510610294,272.53683673763186,0
MDA,Moldova,2021-02-01,2021,2,0.001249797536626081,808333.4312926392,0.0002267502592469299,0.0010229945821106541,7539605.406102572,6.535027097054894,0.91798790529372,-0.6986016719272194,269.5485663005934,272.5229426022809,102095.06901066475,100303.43646342507,272.1747241668836,0
MDA,Moldova,2021-03-01,2021,3,0.0013164887819395652,1254720.306115797,0.00036086577471160556,0.0009554798870655103,11685937.652276622,6.508546446225786,0.7659510362076094,-1.1330730827359625,271.60222713810475,276.49924698633413,101862.29586814532,100098.04901944757,275.84272380106495,0
MDA,Moldova,2021-04-01,2021,4,0.0015698576930512206,1772125.3778030635,0.0005659438910697172,0.0010043323528112832,16378370.461528748,5.592515502451788,0.7481491327540347,0.013659692498370134,275.1792060927575,281.42481646267726,101626.02383833486,99896.36337211075,281.23616509866406,0
MDA,Moldova,2021-05-01,2021,5,0.002566018297673697,2139743.865155879,0.001340978630774321,0.001225057048476243,19412626.5626727,6.390464830224684,0.5242038643709556,0.11986545897684346,282.21377044853244,288.3612530246093,101306.21739761959,99619.3579781567,288.49094997618744,0
MDA,Moldova,2021-06-01,2021,6,0.0037035909395685533,2240954.0618435754,0.0025879989268001486,0.0011154280054329084,19774507.449763853,6.4307155983265645,0.8870161650538058,-2.171301665312899,288.15849258857264,293.11134611168495,101395.08179957625,99723.94923201438,293.1777824961806,0
MDA,Moldova,2021-07-01,2021,7,0.002481147102795342,2461405.994406542,0.0017942049186821895,0.0006867944523556412,21815386.167014465,5.227677800880021,0.24051432575451825,-0.8453523613808102,290.1459004673485,296.65994101223754,101314.33526002025,99657.4740540229,297.16348576149915,0
MDA,Moldova,2021-08-01,2021,8,0.0022965561684745828,2191334.636679515,0.0018105042009533578,0.0004860421157192424,19497094.546732098,5.562488113376081,0.5682775596008245,-0.7276206037494934,288.15433010003454,294.3446012533593,101419.56548996229,99753.75175937673,294.9632869477768,0
